# Bun functions whose exception behavior differs from what their signature implies:
# a function that takes a JSGlobalObject* or ThrowScope& but cannot throw, one with no scope
# of its own that passes the caller's state through, or the reverse. Calls across translation
# units are classified from these rows; the README explains the convention and the columns.
# Generated by scripts/jsc-exception-lint/run.ts --update-summaries. Do not edit.
# mangled name, qualified name/arity, kind, exit states, verifies at entry
BlobInternalReadableStreamSource__create	WebCore::BlobInternalReadableStreamSource__create/2	nothrow	1	0
BlobInternalReadableStreamSource__dangerouslySetPtr	WebCore::BlobInternalReadableStreamSource__dangerouslySetPtr/2	nothrow	1	0
BlobInternalReadableStreamSource__fromJS	WebCore::BlobInternalReadableStreamSource__fromJS/1	nothrow	1	0
BlobInternalReadableStreamSource__fromJSDirect	WebCore::BlobInternalReadableStreamSource__fromJSDirect/1	nothrow	1	0
BlobPrototype__nameGetCachedValue	WebCore::BlobPrototype__nameGetCachedValue/1	nothrow	1	0
BlobPrototype__nameSetCachedValue	WebCore::BlobPrototype__nameSetCachedValue/3	nothrow	1	0
BlobPrototype__streamGetCachedValue	WebCore::BlobPrototype__streamGetCachedValue/1	nothrow	1	0
BlobPrototype__streamSetCachedValue	WebCore::BlobPrototype__streamSetCachedValue/3	nothrow	1	0
Blob__create	WebCore::Blob__create/2	nothrow	1	0
Blob__dangerouslySetPtr	WebCore::Blob__dangerouslySetPtr/2	nothrow	1	0
Blob__fromJS	WebCore::Blob__fromJS/1	nothrow	1	0
Blob__fromJSDirect	WebCore::Blob__fromJSDirect/1	nothrow	1	0
Blob__getConstructor	WebCore::Blob__getConstructor/1	nothrow	1	0
BlockList__create	WebCore::BlockList__create/2	nothrow	1	0
BlockList__dangerouslySetPtr	WebCore::BlockList__dangerouslySetPtr/2	nothrow	1	0
BlockList__fromJS	WebCore::BlockList__fromJS/1	nothrow	1	0
BlockList__fromJSDirect	WebCore::BlockList__fromJSDirect/1	nothrow	1	0
BlockList__getConstructor	WebCore::BlockList__getConstructor/1	nothrow	1	0
BuildArtifactPrototype__hashGetCachedValue	WebCore::BuildArtifactPrototype__hashGetCachedValue/1	nothrow	1	0
BuildArtifactPrototype__hashSetCachedValue	WebCore::BuildArtifactPrototype__hashSetCachedValue/3	nothrow	1	0
BuildArtifactPrototype__kindGetCachedValue	WebCore::BuildArtifactPrototype__kindGetCachedValue/1	nothrow	1	0
BuildArtifactPrototype__kindSetCachedValue	WebCore::BuildArtifactPrototype__kindSetCachedValue/3	nothrow	1	0
BuildArtifactPrototype__loaderGetCachedValue	WebCore::BuildArtifactPrototype__loaderGetCachedValue/1	nothrow	1	0
BuildArtifactPrototype__loaderSetCachedValue	WebCore::BuildArtifactPrototype__loaderSetCachedValue/3	nothrow	1	0
BuildArtifactPrototype__pathGetCachedValue	WebCore::BuildArtifactPrototype__pathGetCachedValue/1	nothrow	1	0
BuildArtifactPrototype__pathSetCachedValue	WebCore::BuildArtifactPrototype__pathSetCachedValue/3	nothrow	1	0
BuildArtifactPrototype__sourcemapGetCachedValue	WebCore::BuildArtifactPrototype__sourcemapGetCachedValue/1	nothrow	1	0
BuildArtifactPrototype__sourcemapSetCachedValue	WebCore::BuildArtifactPrototype__sourcemapSetCachedValue/3	nothrow	1	0
BuildArtifactPrototype__streamGetCachedValue	WebCore::BuildArtifactPrototype__streamGetCachedValue/1	nothrow	1	0
BuildArtifactPrototype__streamSetCachedValue	WebCore::BuildArtifactPrototype__streamSetCachedValue/3	nothrow	1	0
BuildArtifactPrototype__typeGetCachedValue	WebCore::BuildArtifactPrototype__typeGetCachedValue/1	nothrow	1	0
BuildArtifactPrototype__typeSetCachedValue	WebCore::BuildArtifactPrototype__typeSetCachedValue/3	nothrow	1	0
BuildArtifact__create	WebCore::BuildArtifact__create/2	nothrow	1	0
BuildArtifact__dangerouslySetPtr	WebCore::BuildArtifact__dangerouslySetPtr/2	nothrow	1	0
BuildArtifact__fromJS	WebCore::BuildArtifact__fromJS/1	nothrow	1	0
BuildArtifact__fromJSDirect	WebCore::BuildArtifact__fromJSDirect/1	nothrow	1	0
BuildMessagePrototype__levelGetCachedValue	WebCore::BuildMessagePrototype__levelGetCachedValue/1	nothrow	1	0
BuildMessagePrototype__levelSetCachedValue	WebCore::BuildMessagePrototype__levelSetCachedValue/3	nothrow	1	0
BuildMessagePrototype__messageGetCachedValue	WebCore::BuildMessagePrototype__messageGetCachedValue/1	nothrow	1	0
BuildMessagePrototype__messageSetCachedValue	WebCore::BuildMessagePrototype__messageSetCachedValue/3	nothrow	1	0
BuildMessagePrototype__notesGetCachedValue	WebCore::BuildMessagePrototype__notesGetCachedValue/1	nothrow	1	0
