# webkit 491b5cc236e9ed0b
# JavaScriptCore functions whose exception behavior differs from what their signature implies:
# a function that takes a JSGlobalObject* or ThrowScope& but cannot throw, one with no scope
# of its own that passes the caller's state through, or the reverse. Calls across translation
# units are classified from these rows; the README explains the convention and the columns.
# Generated by scripts/jsc-exception-lint/run.ts --update-summaries --webkit. Do not edit.
# mangled name, qualified name/arity, kind, exit states, verifies at entry
JSObjectGetTypedArrayByteLength	JSObjectGetTypedArrayByteLength/3	nothrow	1	0
JSObjectGetTypedArrayByteOffset	JSObjectGetTypedArrayByteOffset/3	nothrow	1	0
JSObjectGetTypedArrayBytesPtr	JSObjectGetTypedArrayBytesPtr/3	nothrow	1	0
JSObjectGetTypedArrayLength	JSObjectGetTypedArrayLength/3	nothrow	1	0
JSObjectHasProperty	JSObjectHasProperty/3	transparent	3	1
JSObjectHasPropertyForKey	JSObjectHasPropertyForKey/4	transparent	1	1
JSObjectIsConstructor	JSObjectIsConstructor/2	nothrow	1	0
JSObjectIsFunction	JSObjectIsFunction/2	nothrow	1	0
JSObjectMake	JSObjectMake/3	transparent	3	1
JSObjectMakeArray	JSObjectMakeArray/4	maythrow	1	1
JSObjectMakeArrayBufferWithBytesNoCopy	JSObjectMakeArrayBufferWithBytesNoCopy/6	transparent	1	1
JSObjectMakeConstructor	JSObjectMakeConstructor/3	nothrow	1	0
JSObjectMakeDate	JSObjectMakeDate/4	maythrow	1	1
JSObjectMakeDeferredPromise	JSObjectMakeDeferredPromise/4	transparent	1	1
JSObjectMakeError	JSObjectMakeError/4	transparent	1	0
JSObjectMakeFunction	JSObjectMakeFunction/8	maythrow	1	1
JSObjectMakeFunctionWithCallback	JSObjectMakeFunctionWithCallback/3	nothrow	1	0
JSObjectMakeRegExp	JSObjectMakeRegExp/4	maythrow	1	1
JSObjectMakeTypedArray	JSObjectMakeTypedArray/4	transparent	1	1
JSObjectMakeTypedArrayWithArrayBuffer	JSObjectMakeTypedArrayWithArrayBuffer/4	transparent	1	1
JSObjectMakeTypedArrayWithArrayBufferAndOffset	JSObjectMakeTypedArrayWithArrayBufferAndOffset/6	transparent	1	1
JSObjectMakeTypedArrayWithBytesNoCopy	JSObjectMakeTypedArrayWithBytesNoCopy/7	transparent	1	1
JSObjectSetPrivate	JSObjectSetPrivate/2	nothrow	1	0
JSObjectSetPrivateProperty	JSObjectSetPrivateProperty/4	nothrow	1	0
JSObjectSetProperty	JSObjectSetProperty/6	transparent	1	0
JSObjectSetPropertyAtIndex	JSObjectSetPropertyAtIndex/5	transparent	1	1
JSObjectSetPropertyForKey	JSObjectSetPropertyForKey/6	transparent	1	0
JSObjectSetPrototype	JSObjectSetPrototype/3	transparent	1	1
JSPropertyNameAccumulatorAddName	JSPropertyNameAccumulatorAddName/2	nothrow	1	0
JSPropertyNameArrayGetCount	JSPropertyNameArrayGetCount/1	nothrow	1	0
JSPropertyNameArrayGetNameAtIndex	JSPropertyNameArrayGetNameAtIndex/2	nothrow	1	0
JSPropertyNameArrayRelease	JSPropertyNameArrayRelease/1	nothrow	1	0
JSPropertyNameArrayRetain	JSPropertyNameArrayRetain/1	nothrow	1	0
JSRemoteInspectorDisableAutoStart	JSRemoteInspectorDisableAutoStart/0	nothrow	1	0
JSRemoteInspectorGetInspectionEnabledByDefault	JSRemoteInspectorGetInspectionEnabledByDefault/0	nothrow	1	0
JSRemoteInspectorGetInspectionFollowsInternalPolicies	JSRemoteInspectorGetInspectionFollowsInternalPolicies/0	nothrow	1	0
JSRemoteInspectorServerStart	JSRemoteInspectorServerStart/2	nothrow	1	0
JSRemoteInspectorSetInspectionEnabledByDefault	JSRemoteInspectorSetInspectionEnabledByDefault/1	nothrow	1	0
JSRemoteInspectorSetInspectionFollowsInternalPolicies	JSRemoteInspectorSetInspectionFollowsInternalPolicies/1	nothrow	1	0
JSRemoteInspectorSetLogToSystemConsole	JSRemoteInspectorSetLogToSystemConsole/1	nothrow	1	0
