id,bytes,synthetic,stage,native_ms,mdx_same_bun_ms,mdx_node_ms,mdx_previous_bun_ms,speedup_vs_same_bun
opportunities,22310,false,jsx,0.21829123195876377,17.839375000000473,17.86801050000031,17.912822750000487,81.72281973913829
opportunities,22310,false,js,0.6786559193548578,18.502791500000967,18.26934374999837,18.66713549999986,27.263876984363513
opportunities-review,26582,false,jsx,0.26416425641026275,31.845667000000503,32.787000000000035,30.99160450000022,120.55252074127051
opportunities-review,26582,false,js,0.8688158399999975,33.73112499999934,33.75660349999998,31.49914600000011,38.824251869072086
master-services,53752,false,jsx,0.5247927307692314,22.948958500001027,23.599895999999717,23.928083499999957,43.729566273455944
master-services,53752,false,js,1.2110601944444408,25.813791499999752,25.11616650000002,24.365083500000082,21.315035882127656
mutual-nda,11837,false,jsx,0.11242511666666688,3.615413166666637,3.767205357143082,3.4504226428571525,32.15841151747345
mutual-nda,11837,false,js,0.20762700480768742,3.968462600000021,3.9269930000003415,3.5748645833333135,19.113422185499292
support-contract,54073,false,jsx,0.48412644186047926,24.83631249999962,26.89356299999963,25.07910450000054,51.3012931178777
support-contract,54073,false,js,1.2436053823529458,27.627854499998648,32.21885400000019,26.606041500000174,22.215933520427324
partner-agreement,28620,false,jsx,0.307473715384619,15.520562250000012,15.922416750000139,16.013874999999757,50.47768792394282
partner-agreement,28620,false,js,0.7295051964285741,17.741437499999847,16.9162187500001,16.866614750000736,24.319823336223365
synthetic-ascii-1024,1036,true,jsx,0.014906120512820517,1.0139672619047597,1.0422390526314542,0.9713454791666815,68.0235518713714
synthetic-ascii-1024,1036,true,js,0.053704751322751265,1.1865689999999987,1.1103553055557618,1.0744500249999873,22.094302101298908
synthetic-ascii-10240,10360,true,jsx,0.11788174117647192,11.57347899999877,12.361875250000594,12.304583250001087,98.17872458019586
synthetic-ascii-10240,10360,true,js,0.44102703191488896,13.501166749998447,12.981989500000054,12.471687500000371,30.613014107951443
synthetic-ascii-102400,102416,true,jsx,1.1160493421052946,327.60370799999873,348.1329375000005,334.3464789999998,293.53873134498986
synthetic-ascii-102400,102416,true,js,4.295579100000031,348.31145800000013,355.16562499999964,345.88056250000227,81.0860305191441
synthetic-unicode-1024,1113,true,jsx,0.018569387829246116,1.0203899047619849,1.0758405999999012,1.0303559782609542,54.95011004912653
synthetic-unicode-1024,1113,true,js,0.06745536731391749,1.1360749999999826,1.157329861111268,1.1631944722222318,16.841877010513084
synthetic-unicode-10240,10335,true,jsx,0.13555627922078084,11.84930200000008,11.44751025000005,11.515426999999818,87.41241695415003
synthetic-unicode-10240,10335,true,js,0.5304189189189217,12.662500000000136,12.458041749999893,11.885083249999752,23.87264018751128
synthetic-unicode-102400,102555,true,jsx,1.3266510312500088,302.6177704999991,293.2033124999998,295.0485210000006,228.10653545783168
synthetic-unicode-102400,102555,true,js,5.0955626250000705,310.238291499998,292.7169790000007,304.424500000001,60.88401111545434
