id,static_mean_us,static_median_us,native_full_pipeline_median_us,reference_full_pipeline_median_us
opportunities-review,167.50236608618854,166.546875,1210.4536944444376,31575.89600000006
opportunities,143.19962663840462,142.63394718309877,1014.5120526315767,19126.656249999996
